POLYGON_ID,ADM0_ISO3,ADM0_NAME,ADM0_CODE,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,ADM3_NAME,ADM3_CODE,CST_NAME,CST_CODE,HEX05_CODE,HEX05_X,HEX05_Y,PRIO_CODE,PRIO_COL,PRIO_ROW,PRIO_X,PRIO_Y,GEOSET,GEOSET_YEAR,GEOSET_VERSION,GEOSET_UNIT,CENTROID_LONG,CENTROID_LAT,YEAR,GHS_VERSION,GHS_POP_COUNT,GHS_POP_KM2,GHS_POP_COUNT_LI,GHS_POP_KM2_LI,GHS_POP_COUNT_MR,GHS_POP_KM2_MR
EGY_GADM2018_ADM2_16A1097,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Matariyah,1097,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,32.02516732,31.19379858,1979,GHS_P2019,,,166351.36885007,25049.392691066,261896.69248581,44954.781126247
EGY_GADM2018_ADM2_16A1094,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Manzilah,1094,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.93122028,31.15056595,1979,GHS_P2019,,,162803.65713128,682.4452318872,146844.74192032,615.5481745159
EGY_GADM2018_ADM2_16A1093,EGY,Egypt,41,"Ad Daqahliyah",16,"Al-Mansurah 2",1093,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.41288894,31.05235434,1979,GHS_P2019,,,74921.647568773,5287.8427143671,66629.189768843,4702.5751183349
EGY_GADM2018_ADM2_16A1092,EGY,Egypt,41,"Ad Daqahliyah",16,"Al-Mansurah 1",1092,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.38777413,31.03978157,1979,GHS_P2019,,,93044.159906382,14943.113405611,86192.748211682,13842.760389932
EGY_GADM2018_ADM2_16A1091,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Mansurah,1091,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.46668759,31.03273573,1979,GHS_P2019,,,329616.35253109,1056.7409108474,288299.40357303,924.2799150907
EGY_GADM2018_ADM2_16A1072,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Jamaliyah,1072,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.91214628,31.27031,1979,GHS_P2019,,,53568.918698648,12261.439757197,54106.072353363,22640.347191987
EGY_GADM2018_ADM2_16A652,EGY,Egypt,41,"Ad Daqahliyah",16,Aja,652,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.30904138,30.89572708,1979,GHS_P2019,,,230094.108269,898.4083835325,203905.39838578,796.1538898642
EGY_GADM2018_ADM2_16A9756,EGY,Egypt,41,"Ad Daqahliyah",16,Dikirnis,9756,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.66420443,31.0939815,1980,GHS_P2019,,,162736.96196863,763.6472606556,139610.27155262,655.1246879536
EGY_GADM2018_ADM2_16A4626,EGY,Egypt,41,"Ad Daqahliyah",16,Bilqas,4626,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.38581615,31.34971429,1980,GHS_P2019,,,254450.87262449,366.7519540375,218131.51746486,314.4031672545
EGY_GADM2018_ADM2_16A3486,EGY,Egypt,41,"Ad Daqahliyah",16,"Bani Ubayd",3486,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.66751914,31.0231545,1980,GHS_P2019,,,51731.104542375,517.8639143062,44403.963152272,444.514192627
EGY_GADM2018_ADM2_16A2431,EGY,Egypt,41,"Ad Daqahliyah",16,As-Sinbillawayn,2431,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.48573497,30.87376912,1980,GHS_P2019,,,254076.62709632,891.1153644492,218491.59720655,766.3090521022
EGY_GADM2018_ADM2_16A1097,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Matariyah,1097,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,32.02516732,31.19379858,1980,GHS_P2019,,,168919.21243752,25358.312986252,261896.69248581,44954.781126247
EGY_GADM2018_ADM2_16A1094,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Manzilah,1094,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.93122028,31.15056595,1980,GHS_P2019,,,167458.56253077,701.957803354,146844.74192032,615.5481745159
EGY_GADM2018_ADM2_16A1093,EGY,Egypt,41,"Ad Daqahliyah",16,"Al-Mansurah 2",1093,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.41288894,31.05235434,1980,GHS_P2019,,,77500.759834074,5469.8720802989,66629.189768843,4702.5751183349
EGY_GADM2018_ADM2_16A1092,EGY,Egypt,41,"Ad Daqahliyah",16,"Al-Mansurah 1",1092,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.38777413,31.03978157,1980,GHS_P2019,,,95153.408053852,15281.863675374,86192.748211682,13842.760389932
EGY_GADM2018_ADM2_16A1091,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Mansurah,1091,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.46668759,31.03273573,1980,GHS_P2019,,,341367.85391008,1094.4158992875,288299.40357303,924.2799150907
EGY_GADM2018_ADM2_16A1072,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Jamaliyah,1072,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.91214628,31.27031,1980,GHS_P2019,,,54652.372452578,12394.533897431,54106.072353363,22640.347191987
EGY_GADM2018_ADM2_16A652,EGY,Egypt,41,"Ad Daqahliyah",16,Aja,652,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.30904138,30.89572708,1980,GHS_P2019,,,237638.91910648,927.8672921401,203905.39838578,796.1538898642
EGY_GADM2018_ADM2_16A9756,EGY,Egypt,41,"Ad Daqahliyah",16,Dikirnis,9756,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.66420443,31.0939815,1981,GHS_P2019,,,167920.77700222,787.9724422377,139610.27155262,655.1246879536
